Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Amy Clair,F,SBD,Raw,36,35-39,24-39,Open,75.54,76,132.5,142.5,150,,150,82.5,90,95,,95,140,160,-167.5,,160,405,1,392.97,383.29,337.07,80.08,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Ruby Olthoff,F,SBD,Raw,17,16-17,14-18,Sub-Junior,69.44,76,135,140,-145,,140,70,75,77.5,,77.5,160,167.5,175,,175,392.5,1,398.71,392.65,346.18,81.03,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Wai Hang Wong,M,SBD,Raw,21,20-23,19-23,Junior,70.64,74,185,195,205,,205,105,112.5,-117.5,,112.5,200,210,217.5,,217.5,535,1,399.35,398.16,385.71,80.47,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Jonathan Chan #2,M,SBD,Raw,23,20-23,19-23,Junior,81.34,83,195,210,220,,220,130,140,145,,145,215,235,-245,,235,600,1,409.74,405.41,390.33,83.91,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Sung Hoon Ok,M,SBD,Raw,22,20-23,19-23,Junior,92.42,93,237.5,250,257.5,,257.5,147.5,155,-160,,155,257.5,272.5,280,,280,692.5,1,441.94,436.32,417.71,90.87,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Jaek Coleman,M,SBD,Raw,23,20-23,19-23,Junior,87.4,93,-220,230,240,,240,135,-142.5,-142.5,,135,230,255,265,,265,640,2,420.11,414.89,398.16,86.33,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Milan Grdosic,M,SBD,Raw,22,20-23,19-23,Junior,102.4,105,185,195,205,,205,120,127.5,-135,,127.5,250,-267.5,-267.5,,250,582.5,1,354.94,351.26,335.41,72.77,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Yao Alexandre Kpade,M,SBD,Raw,19,18-19,19-23,Junior,97.42,105,-200,-200,-212.5,,,140,147.5,152.5,,152.5,195,210,-217.5,,210,,DQ,,,,,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
John Holland,M,SBD,Raw,76,75-79,70-999,Masters 4,91.26,93,90,95,-100,,95,90,95,100,,100,130,145,155,,155,350,1,224.75,221.89,212.53,46.21,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Paul Leikas,M,SBD,Raw,28,24-34,24-39,Special Olympics,65.84,66,-45,45,55,,55,50,-60,-60,,50,65,-75,-75,,65,170,1,133.44,133.75,129.98,26.53,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Ben Paior-Smith,M,SBD,Raw,24,24-34,24-39,Special Olympics,90.4,93,75,95,100,,100,55,70,75,,75,75,95,-105,,95,270,1,174.19,171.98,164.79,35.82,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
William Turner #4,M,SBD,Raw,25,24-34,24-39,Special Olympics,131.52,120+,150,-170,-170,,150,100,107.5,112.5,,112.5,145,-160,160,,160,422.5,1,235.75,238.47,227.65,47.24,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Keiya Shigematsu,M,SBD,Raw,25,24-34,24-39,Open,70.16,74,177.5,190,195,,195,127.5,135,140,,140,190,205,-220,,205,540,1,404.98,403.96,391.45,81.51,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Paul Tran,M,SBD,Raw,24,24-34,24-39,Open,73.04,74,160,172.5,177.5,,177.5,105,112.5,120,,120,200,212.5,222.5,,222.5,520,2,379.53,377.56,365.22,76.86,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Tony Nguyen #12,M,SBD,Raw,29,24-34,24-39,Open,73.5,74,-140,140,150,,150,110,-120,-120,,110,-190,190,195,,195,455,3,330.72,328.87,318.04,67.03,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Yi Hu,M,SBD,Raw,23,20-23,19-23,Open,81.84,83,215,230,240,,240,132.5,137.5,140,,140,265,285,300,,300,680,1,462.74,457.75,440.6,94.8,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Yiannis Papazis,M,SBD,Raw,29,24-34,24-39,Open,82.44,83,190,-205,-210,,190,140,147.5,155,,155,230,250,262.5,,262.5,607.5,2,411.69,407.15,391.77,84.38,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Darvann Hean,M,SBD,Raw,25,24-34,24-39,Open,82.66,83,200,215,-220,,215,125,135,-142.5,,135,220,235,245,,245,595,3,402.61,398.13,383.05,82.53,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Stephen Nguyen,M,SBD,Raw,24,24-34,24-39,Open,82.42,83,180,190,200,,200,-140,-140,140,,140,240,-255,-260,,240,580,4,393.1,388.77,374.09,80.57,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Jonathan Caruso,M,SBD,Raw,31,24-34,24-39,Open,92.98,93,225,250,-275,,250,170,180,185,,185,255,270,295,,295,730,1,464.51,458.63,438.96,95.51,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Aaron Urbani,M,SBD,Raw,23,20-23,24-39,Open,92.08,93,237.5,255,265,,265,150,155,160,,160,237.5,255,265,,265,690,2,441.13,435.52,417,90.71,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Maxwell Tabart,M,SBD,Raw,26,24-34,24-39,Open,92.5,93,195,210,-217.5,,210,122.5,130,-135,,130,235,250,-260,,250,590,3,376.37,371.59,355.72,77.39,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Dominic Archer,M,SBD,Raw,26,24-34,24-39,Open,102.46,105,240,260,275,,275,165,-175,175,,175,255,280,-300,,280,730,1,444.71,440.11,420.25,91.17,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Josh Brennan #1,M,SBD,Raw,18,18-19,14-18,Sub-Junior,54.44,59,120,130,140,,140,67.5,-72.5,72.5,,72.5,157.5,165,175,,175,387.5,1,355.7,362.78,356.29,66.95,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Jeremiah Lepore,M,B,Raw,17,16-17,14-18,Sub-Junior,81.4,83,,,,,,115,120,125,,125,,,,,,125,1,85.33,84.42,81.28,63.42,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Jade Millar,F,SBD,Raw,,,,Junior,68.15,69,115,120,122.5,,122.5,50,52.5,55,,55,112.5,120,-125,,120,297.5,1,305.45,301.57,265.98,62.06,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Jacqueline Pan,F,SBD,Raw,21.5,20-23,19-23,Junior,75.4,76,120,127.5,135,,135,75,80,82.5,,82.5,140,152.5,165,,165,382.5,1,371.5,362.42,318.73,75.7,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Ursula Pereira,F,SBD,Raw,25.5,24-34,24-39,Open,47.35,52,117.5,-125,125,,125,62.5,-65,-65,,62.5,137.5,142.5,-147.5,,142.5,330,1,430.13,441.44,393.29,90.81,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Ruth Czarnecki,F,SBD,Raw,26,24-34,24-39,Open,62.7,63,110,117.5,125,,125,67.5,70,-72.5,,70,140,152.5,160,,160,355,1,382.92,382.64,337.9,77.91,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Erica Saqueton,F,SBD,Raw,,,,Open,68.7,69,120,130,135,,135,62.5,-67.5,67.5,,67.5,137.5,150,160,,160,362.5,1,370.48,365.37,322.2,75.28,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Chantelle Delfino,F,SBD,Raw,,,,Open,65.2,69,105,-117.5,-117.5,,105,50,55,-57.5,,55,115,127.5,140,,140,300,2,316.07,314.02,277.16,64.24,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Karina Oakley,F,SBD,Raw,,,,Open,68.5,69,72.5,80,85,,85,57.5,-62.5,-62.5,,57.5,100,112.5,117.5,,117.5,260,3,266.17,262.6,231.59,54.08,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Caryle De Guzman,F,SBD,Raw,,,,Open,74.35,76,107.5,117.5,-122.5,,117.5,50,55,-57.5,,55,135,145,155,,155,327.5,1,320.45,313.05,275.46,65.25,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Jasmin Russell,F,SBD,Raw,,,,Open,74.3,76,82.5,90,95,,95,55,60,62.5,,62.5,100,110,117.5,,117.5,275,2,269.18,262.98,231.41,54.81,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Rebecca Tancevski,F,SBD,Raw,,,,Open,83.55,84,150,162.5,167.5,,167.5,80,85,90,,90,172.5,185,-200,,185,442.5,1,408.21,395.66,346.04,83.74,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Cammilla White,F,SBD,Raw,39,35-39,24-39,Open,83.6,84,130,142.5,-150,,142.5,75,80,-85,,80,120,130,135,,135,357.5,2,329.7,319.56,279.47,67.64,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Alison Shiner,F,SBD,Raw,,,,Open,82.35,84,107.5,117.5,125,,125,57.5,-62.5,62.5,,62.5,120,132.5,142.5,,142.5,330,3,306.55,297.27,260.24,62.81,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Lauren Deverell,F,SBD,Raw,30.5,24-34,24-39,Open,104.1,84+,175,187.5,195,,195,77.5,82.5,87.5,,87.5,175,185,-200,,185,467.5,1,392.92,384.99,329,82.52,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Eddy Shao,M,SBD,Raw,22.5,20-23,19-23,Junior,72.9,74,155,160,170,,170,92.5,97.5,100,,100,165,175,185,,185,455,1,332.51,330.82,320.04,67.32,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Thomas McConville,M,SBD,Raw,20.5,20-23,19-23,Junior,81.9,83,200,-212.5,212.5,,212.5,132.5,137.5,-142.5,,137.5,240,255,270,,270,620,1,421.73,417.17,401.54,86.41,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Matthew Rebulado,M,SBD,Raw,,,,Junior,92.4,93,172.5,187.5,-202.5,,187.5,97.5,105,110,,110,200,220,235,,235,532.5,1,339.86,335.55,321.24,69.88,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Daniel Shar,M,SBD,Raw,21.5,20-23,19-23,Junior,86.6,93,160,170,175,,175,107.5,115,-120,,115,205,220,227.5,,227.5,517.5,2,341.35,337.16,323.7,70.12,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Mathew Patoulios,M,SBD,Raw,,,40-49,Masters 1,126.15,120+,185,197.5,-210,,197.5,132.5,-142.5,-142.5,,132.5,170,185,195,,195,525,1,296.69,298.62,285.71,59.73,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Toby Read,M,SBD,Raw,49.5,45-49,50-59,Masters 2,103.65,105,-170,170,-182.5,,170,115,125,-130,,125,170,180,-190,,180,475,1,287.98,285.15,272.28,59,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Kyohei Yasuoka,M,SBD,Raw,25.5,24-34,24-39,Open,58.25,59,175,187.5,-192.5,,187.5,120,125,130,,130,200,215,-220,,215,532.5,1,460.68,466.79,456.59,88.72,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Ezra Duma,M,SBD,Raw,23.5,24-34,24-39,Open,65.8,66,180,192.5,200,,200,127.5,135,-137.5,,135,210,220,230,,230,565,1,443.69,444.75,432.23,88.22,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Thomas Del Rosario,M,SBD,Raw,24.5,24-34,24-39,Open,73.55,74,230,245,252.5,,252.5,145,150,155,,155,280,-300,-310,,280,687.5,1,499.49,496.68,480.31,101.25,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Jason Noh,M,SBD,Raw,30.5,24-34,24-39,Open,81.6,83,225,240,247.5,,247.5,142.5,152.5,157.5,,157.5,247.5,267.5,272.5,,272.5,677.5,1,461.81,456.88,439.83,94.6,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Nicholas Van Groesen,M,SBD,Raw,24.5,24-34,24-39,Open,83,83,220,245,257.5,,257.5,127.5,135,140,,140,230,260,277.5,,277.5,675,2,455.68,450.56,433.41,93.44,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Jared Quinto,M,SBD,Raw,24.5,24-34,24-39,Open,82.1,83,217.5,230,-242.5,,230,137.5,147.5,-152.5,,147.5,227.5,240,250,,250,627.5,3,426.24,421.6,405.75,87.34,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Ty Forster,M,SBD,Raw,25,24-34,24-39,Open,82.45,83,190,202.5,210,,210,160,167.5,-170,,167.5,200,215,222.5,,222.5,600,4,406.58,402.09,386.9,83.34,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Karlo Sumera,M,SBD,Raw,25.5,24-34,24-39,Open,81.3,83,165,177.5,185,,185,97.5,102.5,105,,105,195,207.5,215,,215,505,5,344.96,341.32,328.64,70.64,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Michael Wu,M,SBD,Raw,25,24-34,24-39,Open,91.15,93,225,237.5,242.5,,242.5,135,147.5,-155,,147.5,265,285,300,,300,690,1,443.34,437.69,419.26,91.16,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Daniel Liu,M,SBD,Raw,,,,Open,92.05,93,220,235,240,,240,152.5,160,-162.5,,160,260,275,290,,290,690,2,441.2,435.59,417.08,90.72,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Daniel Ly,M,SBD,Raw,,,,Open,90.8,93,205,220,230,,230,127.5,135,-140,,135,235,260,-275,,260,625,3,402.34,397.22,380.55,82.73,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Mingjun Feng,M,SBD,Raw,,,,Open,91.5,93,180,190,200,,200,145,152.5,-157.5,,152.5,205,217.5,227.5,,227.5,580,4,371.96,367.22,351.7,76.48,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Matthew Duffin,M,SBD,Raw,,,,Open,91.25,93,192.5,205,212.5,,212.5,125,130,-135,,130,200,215,230,,230,572.5,5,367.64,362.96,347.66,75.59,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Terry Kim,M,SBD,Raw,35.5,35-39,24-39,Open,91.75,93,165,185,-200,,185,115,122.5,127.5,,127.5,210,230,247.5,,247.5,560,6,358.65,354.09,339.08,73.75,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Raymond Owen,M,SBD,Raw,,,,Open,91.75,93,-155,160,172.5,,172.5,97.5,110,115,,115,185,205,225,,225,512.5,7,328.23,324.05,310.32,67.49,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Brodie Lucchitti,M,SBD,Raw,24.5,24-34,24-39,Open,104.4,105,257.5,270,282.5,,282.5,170,180,-187.5,,180,270,290,302.5,,302.5,765,1,462.44,458.06,437.38,94.7,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Stephen Fong,M,SBD,Raw,25.5,24-34,24-39,Open,102.1,105,210,227.5,240,,240,157.5,170,182.5,,182.5,250,270,287.5,,287.5,710,2,433.16,428.62,409.28,88.82,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
AJ Rebulado,M,SBD,Raw,24.5,24-34,24-39,Open,116.65,120,220,240,260,,260,107.5,117.5,122.5,,122.5,210,230,245,,245,627.5,1,363.86,363.26,347.89,73.86,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Josiah Tea,M,SBD,Raw,22.5,20-23,19-23,Open,117.5,120,197.5,215,220,,220,125,132.5,140,,140,220,245,260,,260,620,2,358.61,358.26,343.17,72.74,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
James Que,M,SBD,Raw,18,18-19,14-18,Sub-Junior,61.85,66,145,152.5,157.5,,157.5,77.5,82.5,85,,85,180,195,-202.5,,195,437.5,1,360.32,363.09,353.97,70.59,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Jaiden Freeman,M,SBD,Raw,14.5,13-15,14-18,Sub-Junior,64,66,70,,,,70,70,75,80,,80,135,150,165,,165,315,2,252.6,253.79,246.98,49.91,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Jayden Chand,M,SBD,Raw,15.5,16-17,14-18,Sub-Junior,81.25,83,150,162.5,172.5,,172.5,90,97.5,102.5,,102.5,185,200,-205,,200,475,1,324.58,321.17,309.24,66.47,Yes,Australia,,APLA,IPF,8/4/2024,Australia,NSW,,XGYM Break All Limits Open IV,Yes
Monica Hung,F,SBD,Raw,19,18-19,19-23,Junior,50.8,52,75,82.5,90,,90,50,55,60,,60,110,120,130,,130,280,1,346.92,355.38,315.32,72.16,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Duyen Le,F,SBD,Raw,23,20-23,24-39,Junior,62.9,63,90,100,110,,110,35,45,-52.5,,45,95,105,110,,110,265,1,285.29,284.94,251.61,58.04,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Alyssa D'Azzena,F,SBD,Raw,23,20-23,24-39,Junior,68.2,69,97.5,105,110,,110,52.5,57.5,60,,60,120,-130,130,,130,300,1,307.89,303.94,268.07,62.56,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Maggie Leong,F,SBD,Raw,25,24-34,24-39,Open,56.6,57,127.5,137.5,147.5,,147.5,52.5,57.5,-62.5,,57.5,130,140,-147.5,,140,345,1,397.09,402.55,356,81.36,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Ivy Vo,F,SBD,Raw,27,24-34,24-39,Open,61.1,63,110,115,-117.5,,115,57.5,60,62.5,,62.5,135,140,-145,,140,317.5,1,347.98,349.05,308.33,70.88,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Yvonne Dai,F,SBD,Raw,25,24-34,24-39,Open,61,63,135,142.5,147.5,,147.5,-65,-67.5,-67.5,,,142.5,155,165,,165,,DQ,,,,,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Lagi Naomi Fruean,F,SBD,Raw,34,24-34,24-39,Open,68.8,69,147.5,155,160,,160,87.5,95,-100,,95,167.5,175,180,,180,435,1,444.21,438,386.23,90.27,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Rachel Patterson,F,SBD,Raw,35,35-39,24-39,Open,68.5,69,70,77.5,85,,85,40,-45,-45,,40,-105,115,122.5,,122.5,247.5,2,253.37,249.97,220.45,51.48,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Tori Riganias,F,SBD,Raw,27,24-34,24-39,Open,75,76,165,180,-190,,180,80,87.5,-90,,87.5,160,180,-187.5,,180,447.5,1,435.86,425.41,374.21,88.79,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Bernie Yap,F,SBD,Raw,32,24-34,24-39,Open,69.5,76,122.5,132.5,140,,140,55,57.5,60,,60,117.5,127.5,132.5,,132.5,332.5,2,337.6,332.43,293.08,68.61,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Elizabeth Hovasapian,F,B,Raw,56,55-59,50-59,Masters 2,75.9,76,,,,,,80,82.5,-85,,82.5,,,,,,82.5,1,79.85,77.85,68.45,63.4,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Richie Lay,M,SBD,Raw,19,18-19,19-23,Junior,58,59,127.5,137.5,145,,145,70,75,77.5,,77.5,165,180,195,,195,417.5,1,362.51,367.46,359.53,69.72,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Aidil Mohamed,M,SBD,Raw,18,18-19,19-23,Junior,61.5,66,130,137.5,-142.5,,137.5,60,-65,65,,65,162.5,172.5,180,,180,382.5,1,316.45,319.05,311.13,61.91,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Jordan Tran,M,SBD,Raw,21,20-23,19-23,Junior,62,66,110,117.5,125,,125,60,62.5,65,,65,140,150,160,,160,350,2,287.7,289.85,282.54,56.4,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Bishoy Awadallah,M,SBD,Raw,19,18-19,19-23,Junior,71.4,74,195,210,217.5,,217.5,110,-115,-115,,110,250,267.5,277.5,,277.5,605,1,448.32,446.65,432.48,90.49,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Dai Thanh Dong,M,SBD,Raw,22,20-23,19-23,Junior,88.1,93,177.5,190,200,,200,92.5,102.5,-110,,102.5,215,230,240,,240,542.5,1,354.63,350.19,335.94,72.89,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Mathew Pineo,M,SBD,Raw,21,20-23,19-23,Junior,89.8,93,155,170,180,,180,120,127.5,132.5,,132.5,195,215,225,,225,537.5,2,347.94,343.53,329.27,71.53,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Jayden Truong,M,SBD,Raw,22,20-23,19-23,Junior,86.5,93,150,160,167.5,,167.5,107.5,112.5,-115,,112.5,192.5,207.5,220,,220,500,3,330.01,325.97,312.96,67.79,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Jacob Warburton,M,SBD,Raw,23,20-23,24-39,Junior,90.6,93,125,140,147.5,,147.5,95,102.5,-110,,102.5,180,195,-205,,195,445,4,286.78,283.13,271.28,58.97,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Xavier Coxon,M,SBD,Raw,21,20-23,19-23,Junior,94.9,105,187.5,202.5,215,,215,100,107.5,112.5,,112.5,192.5,210,217.5,,217.5,545,1,343.45,339.17,324.38,70.6,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Logan Quinn,M,SBD,Raw,19,18-19,19-23,Junior,119.8,120,197.5,-205,205,,205,145,150,-152.5,,150,205,220,-240,,220,575,1,330.41,330.71,316.9,66.89,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
David Jame,M,SBD,Raw,44,40-44,40-49,Masters 1,103.8,105,190,200,210,,210,125,130,135,,135,250,265,275,,275,620,1,375.67,372,355.21,76.96,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
John Chan,M,SBD,Raw,25,24-34,24-39,Open,65.1,66,200,210,217.5,,217.5,70,72.5,80,,80,225,240,252.5,,252.5,550,1,435.38,436.8,424.72,86.36,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Waiky Ho,M,SBD,Raw,31,24-34,24-39,Open,61.5,66,165,175,-185,,175,112.5,117.5,120,,120,215,230,235,,235,530,2,438.48,442.08,431.11,85.78,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Andrii Antonov,M,SBD,Raw,31,24-34,24-39,Open,72.5,74,185,195,-197.5,,195,130,-140,140,,140,185,-195,,,185,520,1,381.4,379.6,367.31,77.16,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Neel Soundararajan,M,SBD,Raw,36,35-39,24-39,Open,71.1,74,140,150,157.5,,157.5,105,110,112.5,,112.5,-187.5,200,210,,210,480,2,356.71,355.49,344.27,71.95,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Wing Ho,M,SBD,Raw,31,24-34,24-39,Open,72.7,74,147.5,160,165,,165,72.5,-77.5,-77.5,,72.5,185,197.5,-205,,197.5,435,3,318.47,316.91,306.62,64.45,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
Kyle Conquest-Hope,M,SBD,Raw,31,24-34,24-39,Open,82.6,83,230,245,252.5,,252.5,142.5,152.5,-157.5,,152.5,255,275,-282.5,,275,680,1,460.31,455.21,437.97,94.36,Yes,Australia,,APLA,IPF,3/22/2025,Australia,VIC,,Elemental Strength Autumn Showdown,Yes
